indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6
0,2.0,R Grounded Pass,53:16:19,53:18:19,53:19:19,,G6,a10,G3,e12,,
1,3.0,R Grounded Pass,53:19:03,53:21:03,53:22:03,,G3,e12,G2,g6,,
2,4.0,R Grounded Pass,53:26:15,53:28:15,53:29:15,,B5,c3,B2,d2,,
3,5.0,R Grounded Pass,53:30:02,53:32:02,53:33:02,,B2,e2,TB,a5,,
4,6.0,R Grounded Pass,53:32:04,53:34:04,53:35:04,,TB,a5,B5,c2,,
5,7.0,R Grounded Pass,53:34:19,53:36:19,53:37:19,,B5,c2,B2,h3,,
6,8.0,R Grounded Pass,53:38:10,53:40:10,53:41:10,,B2,f3,TB,a10,,
7,9.0,R Grounded Pass,53:42:07,53:44:07,53:45:07,,TB,b9,B3,g11,,
8,1.0,L Unsucc Pass,53:44:24,53:46:24,53:47:24,,B3,i9,TB,a10,,
9,1.0,R Goal,53:47:04,53:49:04,53:50:04,,TG,e8,s11,Long Range,,
10,1.0,L Grounded Pass,54:07:12,54:09:12,54:10:12,,TB,g2,B2,f4,,
11,10.0,R Grounded Pass,54:09:07,54:11:07,54:12:07,,B2,f4,B3,f10,,
12,2.0,R Goal,54:11:03,54:13:03,54:14:03,,B3,f11,s17,,,
13,11.0,R Grounded Pass,54:24:22,54:26:22,54:27:22,,TG,a4,TG,c7,,
14,2.0,L Grounded Pass,54:25:17,54:27:17,54:28:17,,TG,c7,G4,c3,,
15,2.0,L Unsucc Pass,54:27:11,54:29:11,54:30:11,,G4,c3,G2,h2,,
16,12.0,R Grounded Pass,54:29:16,54:31:16,54:32:16,,TB,f2,B3,e3,,
17,1.0,L Shot On,54:34:03,54:36:03,54:37:03,,G4,g4,s21,,,
18,13.0,R Grounded Pass,54:38:22,54:40:22,54:41:22,,B5,e1,TB,a4,,
19,14.0,R Grounded Pass,55:04:14,55:06:14,55:07:14,,TG,f4,TG,b3,,
20,3.0,L Grounded Pass,55:06:18,55:08:18,55:09:18,,TG,b3,G4,d4,,
21,1.0,R Shot On,55:06:24,55:08:24,55:09:24,,G4,d4,s16,,,
22,4.0,L Grounded Pass,55:11:02,55:13:02,55:14:02,,TG,b8,G3,d10,,
23,1.0,R Unsucc Pass,55:14:03,55:16:03,55:17:03,,G3,c10,G2,h2,,
24,15.0,R Grounded Pass,55:18:05,55:20:05,55:21:05,,B5,g4,B2,e9,Through Ball,
25,2.0,R Shot On,55:20:07,55:22:07,55:23:07,,B2,e10,s21,,,
