indx,N,Category,Start,Click,End,Descriptors,Des_1,Des_2,Des_3,Des_4,Des_5,Des_6,shotXPrelim,shotYPrelim,shotX,shotY,goalpoint,distY,distX,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,prevD5,prevD6,prevCat,isThroughball,isGround,goalLoc,minute
9,1.0,R Goal,53:47:04,53:49:04,53:50:04,,TG,e8,s11,Long Range,nan,,e,8,5,5,13,8,0,8.0,90.0,1,1,1,0,0,0,0,nan,nan,L Unsucc Pass,0,0,s11,53
12,2.0,R Goal,54:11:03,54:13:03,54:14:03,,B3,f11,s17,nan,nan,,f,11,6,11,13,2,1,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,nan,nan,R Grounded Pass,0,1,s17,54
17,1.0,L Shot On,54:34:03,54:36:03,54:37:03,,G4,g4,s21,nan,nan,,g,4,7,4,0,4,2,4.47213595499958,63.43494882292201,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s21,54
21,1.0,R Shot On,55:06:24,55:08:24,55:09:24,,G4,d4,s16,nan,nan,,d,4,4,4,0,4,1,4.123105625617661,75.96375653207352,1,1,0,0,0,0,0,nan,nan,L Grounded Pass,0,1,s16,55
25,2.0,R Shot On,55:20:07,55:22:07,55:23:07,,B2,e10,s21,nan,nan,,e,10,5,10,13,3,0,3.0,90.0,1,1,0,0,0,0,0,Through Ball,nan,R Grounded Pass,1,1,s21,55
27,2.0,L Shot On,55:27:01,55:29:01,55:30:01,,TG,b6,s17,nan,nan,,b,6,2,6,0,6,3,6.708203932499369,63.43494882292201,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s17,55
28,3.0,R Goal,55:30:04,55:32:04,55:33:04,,B2,e10,s14,nan,nan,,e,10,5,10,13,3,0,3.0,90.0,1,1,1,0,0,0,0,nan,nan,L Shot On,0,0,s14,55
34,1.0,L Shot Wide,55:57:18,55:59:18,56:00:18,,G2,c2,OT 8,Big Chance,nan,,c,2,3,2,0,2,2,2.8284271247461903,44.99999999999999,1,0,0,0,1,0,0,Through Ball,nan,R Grounded Pass,1,1,OT 8,55
40,3.0,R Shot On,56:30:19,56:32:19,56:33:19,,B3,f11,s16,nan,nan,,f,11,6,11,13,2,1,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,s16,56
43,1.0,R Shot Wide,56:43:10,56:45:10,56:46:10,,G4,i6,OT 8,nan,nan,,i,6,9,6,0,6,4,7.211102550927978,56.30993247402022,1,0,0,0,0,0,0,nan,nan,R Grounded Pass,0,1,OT 8,56
45,1.0,R Shot Post,56:59:15,57:01:15,57:02:15,,G6,e3,s13,Big Chance,nan,,e,3,5,3,0,3,0,3.0,90.0,1,0,0,0,1,0,0,nan,nan,R Grounded Pass,0,1,s13,57
